year,spec,estimator,L,delta,panel
2100,Interactive,IFE,2,-0.46551716018770606,L = 2
2021,Direct,AFE,0,-6.71355152187525e-5,L = 0
2022,Direct,AFE,0,-2.1011313274987842e-4,L = 0
2023,Direct,AFE,0,-4.375033790198213e-4,L = 0
2024,Direct,AFE,0,-7.577248189698516e-4,L = 0
2025,Direct,AFE,0,-0.0011790272171987581,L = 0
2026,Direct,AFE,0,-0.0017554113801072635,L = 0
2027,Direct,AFE,0,-0.002422978813325094,L = 0
2028,Direct,AFE,0,-0.0032204651528014994,L = 0
2029,Direct,AFE,0,-0.0041559347594913865,L = 0
2030,Direct,AFE,0,-0.005237217129367977,L = 0
2031,Direct,AFE,0,-0.006562922773297952,L = 0
2032,Direct,AFE,0,-0.00797852826120693,L = 0
2033,Direct,AFE,0,-0.0095642925768461,L = 0
2034,Direct,AFE,0,-0.011327148700689627,L = 0
2035,Direct,AFE,0,-0.013273734170942575,L = 0
2036,Direct,AFE,0,-0.015537628753985788,L = 0
2037,Direct,AFE,0,-0.017882114243569558,L = 0
2038,Direct,AFE,0,-0.0204272192613284,L = 0
2039,Direct,AFE,0,-0.023178074672139726,L = 0
2040,Direct,AFE,0,-0.02613945170287224,L = 0
2041,Direct,AFE,0,-0.0293755827007115,L = 0
2042,Direct,AFE,0,-0.032748853444537485,L = 0
2043,Direct,AFE,0,-0.036338386632779884,L = 0
2044,Direct,AFE,0,-0.04014694278462294,L = 0
2045,Direct,AFE,0,-0.044176880818402875,L = 0
2046,Direct,AFE,0,-0.04825233098447179,L = 0
2047,Direct,AFE,0,-0.05266451445669462,L = 0
2048,Direct,AFE,0,-0.057292994783659346,L = 0
2049,Direct,AFE,0,-0.06213802223925058,L = 0
2050,Direct,AFE,0,-0.06719944198687167,L = 0
2051,Direct,AFE,0,-0.07181565244283872,L = 0
2052,Direct,AFE,0,-0.0771618022460484,L = 0
2053,Direct,AFE,0,-0.08270592246482533,L = 0
2054,Direct,AFE,0,-0.08844571947032065,L = 0
2055,Direct,AFE,0,-0.0943785342422443,L = 0
2056,Direct,AFE,0,-0.09920069394038689,L = 0
2057,Direct,AFE,0,-0.10529246660261848,L = 0
2058,Direct,AFE,0,-0.11154852669886695,L = 0
2059,Direct,AFE,0,-0.11796433347336943,L = 0
2060,Direct,AFE,0,-0.12453505651693397,L = 0
2061,Direct,AFE,0,-0.1291387016421287,L = 0
2062,Direct,AFE,0,-0.1357142054655972,L = 0
2063,Direct,AFE,0,-0.14240835931718432,L = 0
2064,Direct,AFE,0,-0.14921497013177054,L = 0
2065,Direct,AFE,0,-0.15612766024533042,L = 0
2066,Direct,AFE,0,-0.1603277152459568,L = 0
2067,Direct,AFE,0,-0.16714092538819703,L = 0
2068,Direct,AFE,0,-0.17402381051997473,L = 0
2069,Direct,AFE,0,-0.18096929095313896,L = 0
2070,Direct,AFE,0,-0.1879702108304604,L = 0
2071,Direct,AFE,0,-0.19146375001381577,L = 0
2072,Direct,AFE,0,-0.19827821241309296,L = 0
2073,Direct,AFE,0,-0.20511477081885998,L = 0
2074,Direct,AFE,0,-0.2119661799256165,L = 0
2075,Direct,AFE,0,-0.21882521269542232,L = 0
2076,Direct,AFE,0,-0.22130663582742383,L = 0
2077,Direct,AFE,0,-0.22790528036842306,L = 0
2078,Direct,AFE,0,-0.2344827155628484,L = 0
2079,Direct,AFE,0,-0.24103204945995738,L = 0
2080,Direct,AFE,0,-0.24754647445465516,L = 0
2081,Direct,AFE,0,-0.24877849909886873,L = 0
2082,Direct,AFE,0,-0.25494934855174733,L = 0
2083,Direct,AFE,0,-0.2610597001369118,L = 0
2084,Direct,AFE,0,-0.2671032662101881,L = 0
2085,Direct,AFE,0,-0.2730738775686016,L = 0
2086,Direct,AFE,0,-0.27304490491205713,L = 0
2087,Direct,AFE,0,-0.2786162075218137,L = 0
2088,Direct,AFE,0,-0.28409295973564497,L = 0
2089,Direct,AFE,0,-0.28946956951721103,L = 0
2090,Direct,AFE,0,-0.2947405683370351,L = 0
2091,Direct,AFE,0,-0.29337130314503324,L = 0
2092,Direct,AFE,0,-0.2982050482097337,L = 0
2093,Direct,AFE,0,-0.3029154059093233,L = 0
2094,Direct,AFE,0,-0.3074974407313422,L = 0
2095,Direct,AFE,0,-0.3119463239039496,L = 0
2096,Direct,AFE,0,-0.30906560143181194,L = 0
2097,Direct,AFE,0,-0.312991830018304,L = 0
2098,Direct,AFE,0,-0.31676879489280874,L = 0
2099,Direct,AFE,0,-0.32039208558086707,L = 0
2100,Direct,AFE,0,-0.3238573628143445,L = 0
2021,Direct,AFE,1,-6.0680116560796193e-5,L = 1
2022,Direct,AFE,1,-1.6137420605022434e-4,L = 1
2023,Direct,AFE,1,-3.075560406703426e-4,L = 1
2024,Direct,AFE,1,-5.046766159272353e-4,L = 1
2025,Direct,AFE,1,-7.581561438133599e-4,L = 1
2026,Direct,AFE,1,-0.0011076110199439437,L = 1
2027,Direct,AFE,1,-0.0015036309905791523,L = 1
2028,Direct,AFE,1,-0.001975338366012158,L = 1
2029,Direct,AFE,1,-0.002528353731067412,L = 1
2030,Direct,AFE,1,-0.003168241910151748,L = 1
2031,Direct,AFE,1,-0.003962683850585957,L = 1
2032,Direct,AFE,1,-0.00480535199359533,L = 1
2033,Direct,AFE,1,-0.005752585421998413,L = 1
2034,Direct,AFE,1,-0.006809784969755706,L = 1
2035,Direct,AFE,1,-0.007982273847867316,L = 1
2036,Direct,AFE,1,-0.009359172477183875,L = 1
2037,Direct,AFE,1,-0.010784207579673022,L = 1
2038,Direct,AFE,1,-0.01233910899878976,L = 1
2039,Direct,AFE,1,-0.014028703421743005,L = 1
2040,Direct,AFE,1,-0.015857706496035684,L = 1
2041,Direct,AFE,1,-0.01786800790648313,L = 1
2042,Direct,AFE,1,-0.01997352278602138,L = 1
2043,Direct,AFE,1,-0.022227584381829812,L = 1
2044,Direct,AFE,1,-0.024634063516949523,L = 1
2045,Direct,AFE,1,-0.027196683834873725,L = 1
2046,Direct,AFE,1,-0.029797499799287808,L = 1
2047,Direct,AFE,1,-0.03263781338606675,L = 1
2048,Direct,AFE,1,-0.035637921428845476,L = 1
2049,Direct,AFE,1,-0.03880055278090622,L = 1
2050,Direct,AFE,1,-0.042128262576115016,L = 1
2051,Direct,AFE,1,-0.04517766072890306,L = 1
2052,Direct,AFE,1,-0.04874320469432791,L = 1
2053,Direct,AFE,1,-0.05246964511658425,L = 1
2054,Direct,AFE,1,-0.05635835062054739,L = 1
2055,Direct,AFE,1,-0.06041050277447002,L = 1
2056,Direct,AFE,1,-0.06374656202618356,L = 1
2057,Direct,AFE,1,-0.0679795459711302,L = 1
2058,Direct,AFE,1,-0.07236516174890173,L = 1
2059,Direct,AFE,1,-0.07690336036049461,L = 1
2060,Direct,AFE,1,-0.08159390722499182,L = 1
2061,Direct,AFE,1,-0.08498713379464595,L = 1
2062,Direct,AFE,1,-0.08977888107448329,L = 1
2063,Direct,AFE,1,-0.09470617121315028,L = 1
2064,Direct,AFE,1,-0.09976763603412941,L = 1
2065,Direct,AFE,1,-0.10496174225664578,L = 1
2066,Direct,AFE,1,-0.10833407648908044,L = 1
2067,Direct,AFE,1,-0.1135793949478251,L = 1
2068,Direct,AFE,1,-0.11893899490592952,L = 1
2069,Direct,AFE,1,-0.12441047259638904,L = 1
2070,Direct,AFE,1,-0.12999129185433778,L = 1
2071,Direct,AFE,1,-0.1331613170383532,L = 1
2072,Direct,AFE,1,-0.13874689152146313,L = 1
2073,Direct,AFE,1,-0.14442343361291698,L = 1
2074,Direct,AFE,1,-0.15018783575061045,L = 1
2075,Direct,AFE,1,-0.15603689794712583,L = 1
2076,Direct,AFE,1,-0.15879387344716178,L = 1
2077,Direct,AFE,1,-0.16460290526217147,L = 1
2078,Direct,AFE,1,-0.1704791890533801,L = 1
2079,Direct,AFE,1,-0.17641922703272883,L = 1
2080,Direct,AFE,1,-0.18241946974628964,L = 1
2081,Direct,AFE,1,-0.18459237024970754,L = 1
2082,Direct,AFE,1,-0.1904981050816702,L = 1
2083,Direct,AFE,1,-0.19644731599820664,L = 1
2084,Direct,AFE,1,-0.20243636282848243,L = 1
2085,Direct,AFE,1,-0.20846159096441685,L = 1
2086,Direct,AFE,1,-0.2100304618932224,L = 1
2087,Direct,AFE,1,-0.21592094708872855,L = 1
2088,Direct,AFE,1,-0.2218324803635292,L = 1
2089,Direct,AFE,1,-0.22776148805479435,L = 1
2090,Direct,AFE,1,-0.23370441315296264,L = 1
2091,Direct,AFE,1,-0.2345789313567026,L = 1
2092,Direct,AFE,1,-0.2403572096576594,L = 1
2093,Direct,AFE,1,-0.24613638521603365,L = 1
2094,Direct,AFE,1,-0.25191311343582756,L = 1
2095,Direct,AFE,1,-0.2576840901511198,L = 1
2096,Direct,AFE,1,-0.25772499744556465,L = 1
2097,Direct,AFE,1,-0.2632626544145885,L = 1
2098,Direct,AFE,1,-0.2687825086651977,L = 1
2099,Direct,AFE,1,-0.27428158726765084,L = 1
2100,Direct,AFE,1,-0.2797569740449557,L = 1
2021,Direct,AFE,2,-3.583100949133833e-5,L = 2
2022,Direct,AFE,2,-1.2182428034768211e-4,L = 2
2023,Direct,AFE,2,-2.1704405775779811e-4,L = 2
2024,Direct,AFE,2,-3.258272225654668e-4,L = 2
2025,Direct,AFE,2,-4.525216268740362e-4,L = 2
2026,Direct,AFE,2,-6.323842995521467e-4,L = 2
2027,Direct,AFE,2,-8.192746665692807e-4,L = 2
2028,Direct,AFE,2,-0.001039526834905491,L = 2
2029,Direct,AFE,2,-0.0012977246898753236,L = 2
2030,Direct,AFE,2,-0.0015984497463119585,L = 2
2031,Direct,AFE,2,-0.001997385875269986,L = 2
2032,Direct,AFE,2,-0.002405366283143695,L = 2
2033,Direct,AFE,2,-0.0028701776359646436,L = 2
2034,Direct,AFE,2,-0.0033964000520780857,L = 2
2035,Direct,AFE,2,-0.003988603300015381,L = 2
2036,Direct,AFE,2,-0.004715733553378176,L = 2
2037,Direct,AFE,2,-0.005455236747393899,L = 2
2038,Direct,AFE,2,-0.006273133803236131,L = 2
2039,Direct,AFE,2,-0.0071737927758321884,L = 2
2040,Direct,AFE,2,-0.008161554391231562,L = 2
2041,Direct,AFE,2,-0.00926233484544492,L = 2
2042,Direct,AFE,2,-0.010420474621411047,L = 2
2043,Direct,AFE,2,-0.011674730617164064,L = 2
2044,Direct,AFE,2,-0.013029006977710589,L = 2
2045,Direct,AFE,2,-0.01448715729572636,L = 2
2046,Direct,AFE,2,-0.01594027838891321,L = 2
2047,Direct,AFE,2,-0.01757654887420379,L = 2
2048,Direct,AFE,2,-0.019322253847658066,L = 2
2049,Direct,AFE,2,-0.021180698244966156,L = 2
2050,Direct,AFE,2,-0.02315511587058461,L = 2
2051,Direct,AFE,2,-0.024867602411826173,L = 2
2052,Direct,AFE,2,-0.02699817450901043,L = 2
2053,Direct,AFE,2,-0.029244813825565763,L = 2
2054,Direct,AFE,2,-0.03161001991463075,L = 2
2055,Direct,AFE,2,-0.034096204113558626,L = 2
2056,Direct,AFE,2,-0.03596522470448438,L = 2
2057,Direct,AFE,2,-0.038574846972303845,L = 2
2058,Direct,AFE,2,-0.04130086323091808,L = 2
2059,Direct,AFE,2,-0.04414485445559413,L = 2
2060,Direct,AFE,2,-0.047108301294935595,L = 2
2061,Direct,AFE,2,-0.04897618091580147,L = 2
2062,Direct,AFE,2,-0.05201199438581905,L = 2
2063,Direct,AFE,2,-0.055158018651172314,L = 2
2064,Direct,AFE,2,-0.05841488351965807,L = 2
2065,Direct,AFE,2,-0.061783115786770204,L = 2
2066,Direct,AFE,2,-0.06361678623193434,L = 2
2067,Direct,AFE,2,-0.06703020638241108,L = 2
2068,Direct,AFE,2,-0.07054442695513174,L = 2
2069,Direct,AFE,2,-0.07415924819784403,L = 2
2070,Direct,AFE,2,-0.0778743726600416,L = 2
2071,Direct,AFE,2,-0.07954929234819363,L = 2
2072,Direct,AFE,2,-0.0832830688775853,L = 2
2073,Direct,AFE,2,-0.08710611884142361,L = 2
2074,Direct,AFE,2,-0.09101757686885148,L = 2
2075,Direct,AFE,2,-0.09501649207843421,L = 2
2076,Direct,AFE,2,-0.09637249169633522,L = 2
2077,Direct,AFE,2,-0.10036287589343451,L = 2
2078,Direct,AFE,2,-0.10442980144696401,L = 2
2079,Direct,AFE,2,-0.10857190661348959,L = 2
2080,Direct,AFE,2,-0.11278776027637238,L = 2
2081,Direct,AFE,2,-0.11369135434178324,L = 2
2082,Direct,AFE,2,-0.1178609779609524,L = 2
2083,Direct,AFE,2,-0.12209321765776238,L = 2
2084,Direct,AFE,2,-0.12638635813735155,L = 2
2085,Direct,AFE,2,-0.13073863250552442,L = 2
2086,Direct,AFE,2,-0.13117857832116697,L = 2
2087,Direct,AFE,2,-0.1354564337529175,L = 2
2088,Direct,AFE,2,-0.1397827865064989,L = 2
2089,Direct,AFE,2,-0.14415570496151076,L = 2
2090,Direct,AFE,2,-0.14857322369767623,L = 2
2091,Direct,AFE,2,-0.14846091487277036,L = 2
2092,Direct,AFE,2,-0.1527817266049093,L = 2
2093,Direct,AFE,2,-0.15713746829493036,L = 2
2094,Direct,AFE,2,-0.16152611796048766,L = 2
2095,Direct,AFE,2,-0.16594563652180538,L = 2
2096,Direct,AFE,2,-0.1651450541623225,L = 2
2097,Direct,AFE,2,-0.16940612391825116,L = 2
2098,Direct,AFE,2,-0.1736880089660141,L = 2
2099,Direct,AFE,2,-0.17798871569177688,L = 2
2100,Direct,AFE,2,-0.18230624912706905,L = 2
2021,Direct,IFE,0,-8.630928826669493e-5,L = 0
2022,Direct,IFE,0,-2.652964831150184e-4,L = 0
2023,Direct,IFE,0,-5.43269449128525e-4,L = 0
2024,Direct,IFE,0,-9.264634154254603e-4,L = 0
2025,Direct,IFE,0,-0.0014210283703931514,L = 0
2026,Direct,IFE,0,-0.002066548612730701,L = 0
2027,Direct,IFE,0,-0.002816740919883043,L = 0
2028,Direct,IFE,0,-0.0037000028435932864,L = 0
2029,Direct,IFE,0,-0.004722506425609785,L = 0
2030,Direct,IFE,0,-0.005890291198249797,L = 0
2031,Direct,IFE,0,-0.007276018976308918,L = 0
2032,Direct,IFE,0,-0.008767475100288635,L = 0
2033,Direct,IFE,0,-0.010423286210344163,L = 0
2034,Direct,IFE,0,-0.012249002731772873,L = 0
2035,Direct,IFE,0,-0.014249999061976881,L = 0
2036,Direct,IFE,0,-0.01652561249880058,L = 0
2037,Direct,IFE,0,-0.01890308666344731,L = 0
2038,Direct,IFE,0,-0.021470117248573062,L = 0
2039,Direct,IFE,0,-0.02423113466564908,L = 0
2040,Direct,IFE,0,-0.027190342193562644,L = 0
2041,Direct,IFE,0,-0.03039747194139719,L = 0
2042,Direct,IFE,0,-0.03375100224566252,L = 0
2043,Direct,IFE,0,-0.03730936722538758,L = 0
2044,Direct,IFE,0,-0.04107541442449314,L = 0
2045,Direct,IFE,0,-0.04505172099824328,L = 0
2046,Direct,IFE,0,-0.049114508405545876,L = 0
2047,Direct,IFE,0,-0.05347293219490812,L = 0
2048,Direct,IFE,0,-0.0580406981617233,L = 0
2049,Direct,IFE,0,-0.06281889217403436,L = 0
2050,Direct,IFE,0,-0.06780830842512697,L = 0
2051,Direct,IFE,0,-0.07253056267858926,L = 0
2052,Direct,IFE,0,-0.07784006073579919,L = 0
2053,Direct,IFE,0,-0.08335013746533926,L = 0
2054,Direct,IFE,0,-0.08905998658009107,L = 0
2055,Direct,IFE,0,-0.09496851630451897,L = 0
2056,Direct,IFE,0,-0.10012622161796936,L = 0
2057,Direct,IFE,0,-0.10627117460496172,L = 0
2058,Direct,IFE,0,-0.11259631656369973,L = 0
2059,Direct,IFE,0,-0.11909905416251831,L = 0
2060,Direct,IFE,0,-0.12577654138518168,L = 0
2061,Direct,IFE,0,-0.13107519236514187,L = 0
2062,Direct,IFE,0,-0.1378819154521832,L = 0
2063,Direct,IFE,0,-0.14483855211363972,L = 0
2064,Direct,IFE,0,-0.1519410450833637,L = 0
2065,Direct,IFE,0,-0.15918514405121365,L = 0
2066,Direct,IFE,0,-0.16449735278849198,L = 0
2067,Direct,IFE,0,-0.1717974563304584,L = 0
2068,Direct,IFE,0,-0.17921320848811528,L = 0
2069,Direct,IFE,0,-0.18673958267336233,L = 0
2070,Direct,IFE,0,-0.19437143083639452,L = 0
2071,Direct,IFE,0,-0.19947010908046248,L = 0
2072,Direct,IFE,0,-0.20709240496535042,L = 0
2073,Direct,IFE,0,-0.21479525503672492,L = 0
2074,Direct,IFE,0,-0.2225731782136644,L = 0
2075,Direct,IFE,0,-0.2304206450957328,L = 0
2076,Direct,IFE,0,-0.23506537671026717,L = 0
2077,Direct,IFE,0,-0.24284429467375668,L = 0
2078,Direct,IFE,0,-0.2506702545943509,L = 0
2079,Direct,IFE,0,-0.2585377658912861,L = 0
2080,Direct,IFE,0,-0.2664413543284949,L = 0
2081,Direct,IFE,0,-0.27044476172482024,L = 0
2082,Direct,IFE,0,-0.2782146696217451,L = 0
2083,Direct,IFE,0,-0.2860003586326939,L = 0
2084,Direct,IFE,0,-0.29379665578364844,L = 0
2085,Direct,IFE,0,-0.30159845574366784,L = 0
2086,Direct,IFE,0,-0.30494119415479215,L = 0
2087,Direct,IFE,0,-0.3125637274719023,L = 0
2088,Direct,IFE,0,-0.3201745962487059,L = 0
2089,Direct,IFE,0,-0.3277691782999409,L = 0
2090,Direct,IFE,0,-0.33534295465465025,L = 0
2091,Direct,IFE,0,-0.33795305719042235,L = 0
2092,Direct,IFE,0,-0.34531711742499727,L = 0
2093,Direct,IFE,0,-0.3526466901592714,L = 0
2094,Direct,IFE,0,-0.3599378441377429,L = 0
2095,Direct,IFE,0,-0.36718677159626223,L = 0
2096,Direct,IFE,0,-0.3689500166595113,L = 0
2097,Direct,IFE,0,-0.3759277083624111,L = 0
2098,Direct,IFE,0,-0.3828521289346747,L = 0
2099,Direct,IFE,0,-0.38972013985504705,L = 0
2100,Direct,IFE,0,-0.3965287321732891,L = 0
2021,Direct,IFE,1,-1.4976454184201238e-4,L = 1
2022,Direct,IFE,1,-4.34954459586967e-4,L = 1
2023,Direct,IFE,1,-8.600228391564269e-4,L = 1
2024,Direct,IFE,1,-0.0014293737527790729,L = 1
2025,Direct,IFE,1,-0.0021473518089856203,L = 1
2026,Direct,IFE,1,-0.003046251559640889,L = 1
2027,Direct,IFE,1,-0.004085474270739797,L = 1
2028,Direct,IFE,1,-0.005288419776182773,L = 1
2029,Direct,IFE,1,-0.006659348648342167,L = 1
2030,Direct,IFE,1,-0.008202416635853527,L = 1
2031,Direct,IFE,1,-0.009971257932942734,L = 1
2032,Direct,IFE,1,-0.011881576858762788,L = 1
2033,Direct,IFE,1,-0.013976639159929416,L = 1
2034,Direct,IFE,1,-0.016260123510173696,L = 1
2035,Direct,IFE,1,-0.018735565836133117,L = 1
2036,Direct,IFE,1,-0.02147114629677327,L = 1
2037,Direct,IFE,1,-0.024348168208947807,L = 1
2038,Direct,IFE,1,-0.027425859853649204,L = 1
2039,Direct,IFE,1,-0.030706959769925102,L = 1
2040,Direct,IFE,1,-0.03419402432611085,L = 1
2041,Direct,IFE,1,-0.037910828183055134,L = 1
2042,Direct,IFE,1,-0.04180715511151334,L = 1
2043,Direct,IFE,1,-0.0459125367167903,L = 1
2044,Direct,IFE,1,-0.050228468705154516,L = 1
2045,Direct,IFE,1,-0.05475623172412414,L = 1
2046,Direct,IFE,1,-0.05938555145808477,L = 1
2047,Direct,IFE,1,-0.06430891294801155,L = 1
2048,Direct,IFE,1,-0.06944166100460125,L = 1
2049,Direct,IFE,1,-0.0747839302467117,L = 1
2050,Direct,IFE,1,-0.08033562289705887,L = 1
2051,Direct,IFE,1,-0.08572385895505441,L = 1
2052,Direct,IFE,1,-0.09162104256997883,L = 1
2053,Direct,IFE,1,-0.09771823826110293,L = 1
2054,Direct,IFE,1,-0.10401413662727343,L = 1
2055,Direct,IFE,1,-0.11050719756323779,L = 1
2056,Direct,IFE,1,-0.11648392709661737,L = 1
2057,Direct,IFE,1,-0.12325744085168511,L = 1
2058,Direct,IFE,1,-0.130213125309932,L = 1
2059,Direct,IFE,1,-0.13734830050250169,L = 1
2060,Direct,IFE,1,-0.14466007567098538,L = 1
2061,Direct,IFE,1,-0.15100510356147323,L = 1
2062,Direct,IFE,1,-0.1585150793066139,L = 1
2063,Direct,IFE,1,-0.16618193579301388,L = 1
2064,Direct,IFE,1,-0.17400183197140962,L = 1
2065,Direct,IFE,1,-0.18197075508708271,L = 1
2066,Direct,IFE,1,-0.1885803470324573,L = 1
2067,Direct,IFE,1,-0.1966885095177765,L = 1
2068,Direct,IFE,1,-0.20492472004648066,L = 1
2069,Direct,IFE,1,-0.21328430175616997,L = 1
2070,Direct,IFE,1,-0.2217624551322892,L = 1
2071,Direct,IFE,1,-0.2284552622696372,L = 1
2072,Direct,IFE,1,-0.23701592224510637,L = 1
2073,Direct,IFE,1,-0.24567425343219051,L = 1
2074,Direct,IFE,1,-0.2544250919978809,L = 1
2075,Direct,IFE,1,-0.26326320454817853,L = 1
2076,Direct,IFE,1,-0.2698442482835164,L = 1
2077,Direct,IFE,1,-0.27871183175754055,L = 1
2078,Direct,IFE,1,-0.2876469918288673,L = 1
2079,Direct,IFE,1,-0.29664440159989525,L = 1
2080,Direct,IFE,1,-0.30569871542454186,L = 1
2081,Direct,IFE,1,-0.3120075967966015,L = 1
2082,Direct,IFE,1,-0.32103245316041473,L = 1
2083,Direct,IFE,1,-0.33009579967142066,L = 1
2084,Direct,IFE,1,-0.33919242420058326,L = 1
2085,Direct,IFE,1,-0.3483171411020489,L = 1
2086,Direct,IFE,1,-0.354310653691546,L = 1
2087,Direct,IFE,1,-0.36335977924865503,L = 1
2088,Direct,IFE,1,-0.372420614423688,L = 1
2089,Direct,IFE,1,-0.38148828209766505,L = 1
2090,Direct,IFE,1,-0.390557968351143,L = 1
2091,Direct,IFE,1,-0.39615434933563864,L = 1
2092,Direct,IFE,1,-0.40511339727264684,L = 1
2093,Direct,IFE,1,-0.4140605289252429,L = 1
2094,Direct,IFE,1,-0.42299136026603545,L = 1
2095,Direct,IFE,1,-0.43190159734717615,L = 1
2096,Direct,IFE,1,-0.4369928982773542,L = 1
2097,Direct,IFE,1,-0.4457376525301364,L = 1
2098,Direct,IFE,1,-0.4544500710581547,L = 1
2099,Direct,IFE,1,-0.4631264059352799,L = 1
2100,Direct,IFE,1,-0.4717630162809957,L = 1
2021,Direct,IFE,2,-1.1498140558074965e-4,L = 2
2022,Direct,IFE,2,-2.505178952558751e-4,L = 2
2023,Direct,IFE,2,-5.398018137068306e-4,L = 2
2024,Direct,IFE,2,-9.884109258764262e-4,L = 2
2025,Direct,IFE,2,-0.001601852621963995,L = 2
2026,Direct,IFE,2,-0.0024200680290946686,L = 2
2027,Direct,IFE,2,-0.003392328877910744,L = 2
2028,Direct,IFE,2,-0.00454795605238012,L = 2
2029,Direct,IFE,2,-0.005892219162769163,L = 2
2030,Direct,IFE,2,-0.007430246621477399,L = 2
2031,Direct,IFE,2,-0.009225050804540835,L = 2
2032,Direct,IFE,2,-0.011175929105337379,L = 2
2033,Direct,IFE,2,-0.013335240840568918,L = 2
2034,Direct,IFE,2,-0.01570735536147727,L = 2
2035,Direct,IFE,2,-0.018296443974419097,L = 2
2036,Direct,IFE,2,-0.02117775628651386,L = 2
2037,Direct,IFE,2,-0.024217074351147838,L = 2
2038,Direct,IFE,2,-0.027482650656922125,L = 2
2039,Direct,IFE,2,-0.030977517755760742,L = 2
2040,Direct,IFE,2,-0.034704458609919664,L = 2
2041,Direct,IFE,2,-0.03867738280243416,L = 2
2042,Direct,IFE,2,-0.04285914588226303,L = 2
2043,Direct,IFE,2,-0.047275097055059945,L = 2
2044,Direct,IFE,2,-0.051926604563276246,L = 2
2045,Direct,IFE,2,-0.05681475022935012,L = 2
2046,Direct,IFE,2,-0.061780903152949374,L = 2
2047,Direct,IFE,2,-0.06710088925867885,L = 2
2048,Direct,IFE,2,-0.07265259278270231,L = 2
2049,Direct,IFE,2,-0.07843561970977508,L = 2
2050,Direct,IFE,2,-0.08444927691429804,L = 2
2051,Direct,IFE,2,-0.09020797342879028,L = 2
2052,Direct,IFE,2,-0.0965866536750919,L = 2
2053,Direct,IFE,2,-0.103182559184536,L = 2
2054,Direct,IFE,2,-0.10999350633854543,L = 2
2055,Direct,IFE,2,-0.11701702737609132,L = 2
2056,Direct,IFE,2,-0.1233508251804839,L = 2
2057,Direct,IFE,2,-0.1306563973069993,L = 2
2058,Direct,IFE,2,-0.1381546982388141,L = 2
2059,Direct,IFE,2,-0.14584192983940303,L = 2
2060,Direct,IFE,2,-0.15371404915775255,L = 2
2061,Direct,IFE,2,-0.16034965711357252,L = 2
2062,Direct,IFE,2,-0.16840172668511022,L = 2
2063,Direct,IFE,2,-0.17661373215215692,L = 2
2064,Direct,IFE,2,-0.18498060722183685,L = 2
2065,Direct,IFE,2,-0.1934971034602354,L = 2
2066,Direct,IFE,2,-0.20031095117401887,L = 2
2067,Direct,IFE,2,-0.20893539552040385,L = 2
2068,Direct,IFE,2,-0.2176837182630047,L = 2
2069,Direct,IFE,2,-0.22655004926362288,L = 2
2070,Direct,IFE,2,-0.23552840827324217,L = 2
2071,Direct,IFE,2,-0.24231135464682996,L = 2
2072,Direct,IFE,2,-0.2513310326627102,L = 2
2073,Direct,IFE,2,-0.2604379536742263,L = 2
2074,Direct,IFE,2,-0.2696259148808823,L = 2
2075,Direct,IFE,2,-0.27888867561223507,L = 2
2076,Direct,IFE,2,-0.2854238607857522,L = 2
2077,Direct,IFE,2,-0.2946692967434371,L = 2
2078,Direct,IFE,2,-0.30396706719537925,L = 2
2079,Direct,IFE,2,-0.3133110418722109,L = 2
2080,Direct,IFE,2,-0.32269511629827197,L = 2
2081,Direct,IFE,2,-0.3288107772157972,L = 2
2082,Direct,IFE,2,-0.33811296890414355,L = 2
2083,Direct,IFE,2,-0.3474350775538355,L = 2
2084,Direct,IFE,2,-0.3567713670241941,L = 2
2085,Direct,IFE,2,-0.36611617851925427,L = 2
2086,Direct,IFE,2,-0.3717867747397622,L = 2
2087,Direct,IFE,2,-0.38100369318311544,L = 2
2088,Direct,IFE,2,-0.3902120572815927,L = 2
2089,Direct,IFE,2,-0.39940675225247046,L = 2
2090,Direct,IFE,2,-0.40858277736133486,L = 2
2091,Direct,IFE,2,-0.41374106673514854,L = 2
2092,Direct,IFE,2,-0.4227579491723463,L = 2
2093,Direct,IFE,2,-0.4317424915757645,L = 2
2094,Direct,IFE,2,-0.44069033487492437,L = 2
2095,Direct,IFE,2,-0.4495972558541853,L = 2
2096,Direct,IFE,2,-0.45414468111330897,L = 2
2097,Direct,IFE,2,-0.46284061113816166,L = 2
2098,Direct,IFE,2,-0.471484971043427,L = 2
2099,Direct,IFE,2,-0.48007426018359833,L = 2
2100,Direct,IFE,2,-0.4886051216412727,L = 2
